,area_type,availability,total_sqft,bath,price,bhk
11951,Plot  Area,1.0,1500.0,4.0,360.0,4.0
11952,Super built-up  Area,1.0,1050.0,2.0,59.0,2.0
11953,Built-up  Area,0.0,1400.0,2.0,40.43,3.0
11954,Super built-up  Area,1.0,1650.0,3.0,150.0,3.0
11955,Super built-up  Area,1.0,1827.0,3.0,97.0,3.0
11956,Super built-up  Area,1.0,1930.0,4.0,122.0,3.0
11957,Super built-up  Area,0.0,883.0,2.0,37.0,2.0
11958,Built-up  Area,1.0,550.0,1.0,16.75,1.0
11959,Built-up  Area,0.0,1400.0,2.0,40.44,3.0
11960,Plot  Area,0.0,1350.0,4.0,310.0,4.0
11961,Super built-up  Area,1.0,1290.0,2.0,38.69,3.0
11962,Built-up  Area,1.0,1021.0,3.0,59.0,3.0
11963,Super built-up  Area,0.0,1158.0,2.0,55.0,2.0
11964,Plot  Area,1.0,1200.0,4.0,99.0,5.0
11965,Super built-up  Area,1.0,1400.0,2.0,135.0,3.0
11966,Plot  Area,1.0,2400.0,3.0,200.0,4.0
11967,Super built-up  Area,0.0,1200.0,2.0,57.9,3.0
11968,Built-up  Area,1.0,1520.0,3.0,125.0,3.0
11969,Super built-up  Area,0.0,777.0,1.0,38.46,1.0
11970,Super built-up  Area,1.0,2710.0,3.0,177.0,3.0
11971,Super built-up  Area,1.0,1150.0,2.0,57.0,2.0
11972,Super built-up  Area,1.0,1101.0,2.0,37.0,2.0
11973,Super built-up  Area,1.0,1200.0,2.0,110.0,3.0
11974,Super built-up  Area,0.0,1252.0,2.0,92.0,2.0
11975,Super built-up  Area,1.0,1650.0,3.0,85.0,3.0
11976,Built-up  Area,1.0,1270.0,2.0,80.0,2.0
11977,Super built-up  Area,1.0,992.0,2.0,70.0,2.0
11978,Super built-up  Area,1.0,2000.0,3.0,85.0,3.0
11979,Super built-up  Area,1.0,893.0,2.0,34.5,2.0
11980,Built-up  Area,1.0,1075.0,2.0,41.49,3.0
11981,Built-up  Area,1.0,3200.0,7.0,150.0,7.0
11982,Super built-up  Area,1.0,1190.0,2.0,42.0,2.0
11983,Built-up  Area,1.0,800.0,2.0,60.0,3.0
11984,Super built-up  Area,1.0,1814.0,3.0,63.0,3.0
11985,Built-up  Area,1.0,1400.0,3.0,98.0,3.0
11986,Plot  Area,1.0,1400.0,6.0,252.0,5.0
11987,Super built-up  Area,1.0,1344.0,2.0,56.0,3.0
11988,Plot  Area,1.0,5400.0,5.0,475.0,4.0
11989,Super built-up  Area,1.0,1843.0,3.0,95.0,3.0
11990,Super built-up  Area,0.0,1138.0,2.0,32.0,2.0
11991,Built-up  Area,1.0,1495.0,2.0,70.0,3.0
11992,Super built-up  Area,1.0,880.0,2.0,19.0,2.0
11993,Super built-up  Area,0.0,1396.0,3.0,74.0,3.0
11994,Built-up  Area,1.0,1610.0,2.0,119.0,3.0
11995,Super built-up  Area,1.0,1050.0,2.0,55.0,2.0
11996,Built-up  Area,0.0,1410.0,2.0,43.71,3.0
11997,Super built-up  Area,1.0,1050.0,2.0,37.8,2.0
11998,Built-up  Area,1.0,1310.0,2.0,85.0,3.0
11999,Super built-up  Area,1.0,1104.0,2.0,58.0,2.0
12000,Super built-up  Area,0.0,1165.0,2.0,67.0,2.0
12001,Super built-up  Area,1.0,1027.0,2.0,44.0,2.0
12002,Super built-up  Area,1.0,1310.0,2.0,60.0,2.0
12003,Built-up  Area,1.0,1052.0,2.0,52.0,2.0
12004,Super built-up  Area,1.0,1464.0,3.0,56.0,3.0
12005,Super built-up  Area,1.0,1000.0,2.0,45.0,2.0
12006,Super built-up  Area,0.0,2240.0,3.0,300.0,3.0
12007,Super built-up  Area,1.0,1150.0,2.0,38.08,2.0
12008,Super built-up  Area,0.0,2019.0,3.0,70.67,3.0
12009,Super built-up  Area,1.0,986.0,2.0,31.0,2.0
12010,Plot  Area,1.0,1350.0,1.0,145.0,1.0
12011,Built-up  Area,1.0,800.0,8.0,140.0,8.0
12012,Super built-up  Area,1.0,1893.0,4.0,95.0,3.0
12013,Super built-up  Area,1.0,1318.0,3.0,56.0,3.0
12014,Built-up  Area,1.0,1325.0,2.0,58.0,3.0
12015,Built-up  Area,1.0,800.0,2.0,33.0,2.0
12016,Super built-up  Area,1.0,1300.0,3.0,42.25,3.0
12017,Built-up  Area,1.0,1300.0,2.0,60.0,3.0
12018,Super built-up  Area,1.0,1010.0,2.0,52.0,2.0
12019,Super built-up  Area,1.0,1260.0,2.0,75.0,2.0
12020,Built-up  Area,1.0,2500.0,4.0,170.0,4.0
12021,Plot  Area,1.0,1520.0,3.0,165.0,3.0
12022,Super built-up  Area,1.0,1665.0,3.0,85.0,3.0
12023,Super built-up  Area,1.0,1800.0,3.0,80.0,3.0
12024,Super built-up  Area,1.0,1197.0,2.0,75.0,2.0
12025,Super built-up  Area,1.0,1050.0,2.0,45.0,2.0
12026,Plot  Area,1.0,910.0,4.0,194.0,5.0
12027,Super built-up  Area,1.0,1241.0,2.0,68.0,3.0
12028,Super built-up  Area,1.0,1567.0,2.0,62.0,3.0
12029,Super built-up  Area,1.0,1747.0,3.0,110.0,3.0
12030,Super built-up  Area,0.0,1475.0,2.0,55.0,3.0
12031,Plot  Area,1.0,600.0,4.0,70.0,4.0
12032,Plot  Area,1.0,1524.0,4.0,400.0,3.0
12033,Super built-up  Area,1.0,980.0,2.0,51.0,2.0
12034,Super built-up  Area,0.0,966.0,2.0,58.0,2.0
12035,Super built-up  Area,1.0,2360.0,3.0,185.0,4.0
12036,Super built-up  Area,0.0,1112.0,2.0,62.0,2.0
12037,Super built-up  Area,1.0,550.0,1.0,16.0,2.0
12038,Built-up  Area,1.0,1760.0,3.0,90.0,3.0
12039,Super built-up  Area,1.0,1830.0,2.0,113.0,3.0
12040,Super built-up  Area,0.0,1175.0,2.0,67.77,2.0
12041,Super built-up  Area,1.0,1175.0,2.0,41.0,2.0
12042,Super built-up  Area,1.0,1025.0,2.0,45.0,2.0
12043,Super built-up  Area,0.0,1232.0,2.0,80.0,2.0
12044,Built-up  Area,1.0,1010.0,2.0,57.0,2.0
12045,Super built-up  Area,1.0,1273.0,2.0,60.0,2.0
12046,Super built-up  Area,0.0,1590.0,2.0,102.0,2.0
12047,Super built-up  Area,1.0,1100.0,2.0,58.5,2.0
12048,Super built-up  Area,1.0,1252.0,2.0,65.0,3.0
12049,Super built-up  Area,1.0,2615.0,5.0,222.0,4.0
12050,Plot  Area,1.0,1200.0,6.0,140.0,5.0
12051,Super built-up  Area,1.0,1322.0,2.0,77.9,2.0
12052,Plot  Area,1.0,1000.0,1.0,60.0,1.0
12053,Super built-up  Area,1.0,1755.0,3.0,117.0,3.0
12054,Super built-up  Area,1.0,1135.0,2.0,46.0,2.0
12055,Plot  Area,1.0,1200.0,10.0,180.0,8.0
12056,Plot  Area,1.0,1200.0,4.0,125.0,4.0
12057,Super built-up  Area,1.0,1260.0,2.0,85.5,2.0
12058,Plot  Area,1.0,3250.0,5.0,395.0,5.0
12059,Plot  Area,1.0,3500.0,4.0,550.0,4.0
12060,Plot  Area,1.0,1200.0,6.0,110.0,5.0
12061,Super built-up  Area,0.0,1100.0,2.0,53.0,3.0
12062,Super built-up  Area,1.0,1305.0,3.0,65.0,3.0
12063,Built-up  Area,1.0,1236.0,2.0,50.0,2.0
12064,Built-up  Area,1.0,1125.0,1.0,45.0,2.0
12065,Built-up  Area,0.0,1075.0,2.0,32.25,2.0
12066,Super built-up  Area,1.0,2000.0,3.0,85.0,3.0
12067,Plot  Area,1.0,772.0,5.0,60.0,8.0
12068,Built-up  Area,1.0,299997.0,6.0,110.0,6.0
12069,Super built-up  Area,1.0,1150.0,2.0,42.0,2.0
12070,Plot  Area,1.0,1440.0,4.0,240.0,4.0
12071,Super built-up  Area,1.0,1085.0,2.0,43.4,2.0
12072,Built-up  Area,1.0,1785.0,3.0,165.0,3.0
12073,Super built-up  Area,1.0,2475.0,4.0,300.0,3.0
12074,Super built-up  Area,1.0,1930.0,4.0,120.0,3.0
12075,Super built-up  Area,1.0,600.0,4.0,70.0,2.0
12076,Plot  Area,1.0,800.0,1.0,45.0,2.0
12077,Built-up  Area,1.0,2450.0,3.0,110.0,4.0
12078,Plot  Area,0.0,1200.0,4.0,120.0,4.0
12079,Super built-up  Area,1.0,1920.0,3.0,122.0,3.0
12080,Super built-up  Area,0.0,1085.0,2.0,34.2,2.0
12081,Super built-up  Area,1.0,760.0,1.0,50.4,1.0
12082,Built-up  Area,1.0,1201.0,2.0,80.0,2.0
12083,Super built-up  Area,0.0,1615.0,3.0,97.0,3.0
12084,Super built-up  Area,1.0,1289.0,2.0,70.0,2.0
12085,Super built-up  Area,1.0,1991.0,4.0,100.0,3.0
12086,Super built-up  Area,1.0,1377.0,2.0,80.0,2.0
12087,Super built-up  Area,1.0,2880.0,3.0,560.0,3.0
12088,Plot  Area,1.0,1892.0,3.0,200.0,3.0
12089,Built-up  Area,1.0,2176.0,3.0,348.0,3.0
12090,Super built-up  Area,0.0,663.0,1.0,32.82,1.0
12091,Built-up  Area,0.0,1165.0,2.0,33.65,2.0
12092,Super built-up  Area,1.0,3554.0,4.0,340.0,3.0
12093,Super built-up  Area,1.0,1260.0,2.0,45.5,2.0
12094,Built-up  Area,1.0,1095.0,2.0,39.0,2.0
12095,Super built-up  Area,1.0,1050.0,2.0,65.0,2.0
12096,Super built-up  Area,1.0,1176.0,2.0,50.0,2.0
12097,Super built-up  Area,1.0,1801.0,3.0,115.0,3.0
12098,Super built-up  Area,1.0,1315.0,2.0,55.0,2.0
12099,Super built-up  Area,1.0,1194.0,2.0,46.0,2.0
12100,Plot  Area,1.0,2400.0,2.0,125.0,2.0
12101,Super built-up  Area,0.0,1308.0,2.0,53.0,3.0
12102,Plot  Area,1.0,4250.0,4.0,610.0,4.0
12103,Super built-up  Area,1.0,1806.0,6.0,116.0,3.0
12104,Built-up  Area,0.0,3671.0,4.0,220.0,4.0
12105,Super built-up  Area,1.0,2144.0,3.0,140.0,3.0
12106,Built-up  Area,1.0,1065.0,2.0,33.75,2.0
12107,Super built-up  Area,0.0,1205.0,2.0,67.0,2.0
12108,Super built-up  Area,1.0,1160.0,2.0,40.58,2.0
12109,Plot  Area,1.0,750.0,4.0,90.0,4.0
12110,Super built-up  Area,1.0,1194.0,2.0,47.0,2.0
12111,Plot  Area,0.0,1200.0,3.0,56.53,3.0
12112,Super built-up  Area,1.0,1681.0,3.0,69.0,3.0
12113,Built-up  Area,0.0,1130.0,2.0,32.64,2.0
12114,Super built-up  Area,1.0,3633.0,5.0,335.0,4.0
12115,Built-up  Area,1.0,1843.0,3.0,90.0,3.0
12116,Built-up  Area,0.0,1065.0,2.0,30.75,2.0
12117,Super built-up  Area,1.0,1885.0,3.0,85.52,3.0
12118,Super built-up  Area,1.0,1500.0,2.0,45.0,2.0
12119,Super built-up  Area,1.0,1210.0,2.0,69.0,2.0
12120,Super built-up  Area,1.0,1126.0,2.0,39.4,2.0
12121,Super built-up  Area,1.0,1357.0,2.0,59.0,3.0
12122,Super built-up  Area,1.0,1451.0,2.0,46.4,3.0
12123,Plot  Area,1.0,1600.0,3.0,185.0,4.0
12124,Super built-up  Area,1.0,950.0,2.0,55.0,2.0
12125,Built-up  Area,1.0,960.0,2.0,48.0,2.0
12126,Super built-up  Area,1.0,1625.0,3.0,92.0,3.0
12127,Plot  Area,0.0,2200.0,4.0,150.0,3.0
12128,Super built-up  Area,1.0,1607.0,2.0,112.0,3.0
12129,Super built-up  Area,0.0,900.0,2.0,46.29,2.0
12130,Built-up  Area,1.0,1080.0,2.0,38.0,2.0
12131,Super built-up  Area,1.0,2300.0,3.0,250.0,3.0
12132,Super built-up  Area,1.0,1708.0,3.0,64.05,4.0
12133,Built-up  Area,1.0,2500.0,5.0,185.0,6.0
12134,Super built-up  Area,1.0,1690.0,2.0,116.0,3.0
12135,Built-up  Area,1.0,2100.0,3.0,145.0,5.0
12136,Super built-up  Area,1.0,1269.0,2.0,97.0,2.0
12137,Super built-up  Area,1.0,1243.0,2.0,46.0,2.0
12138,Built-up  Area,1.0,1890.0,3.0,84.0,3.0
12139,Built-up  Area,0.0,1165.0,2.0,33.64,2.0
12140,Super built-up  Area,1.0,1196.0,2.0,56.81,2.0
12141,Super built-up  Area,1.0,1194.0,2.0,47.0,2.0
12142,Super built-up  Area,1.0,1630.0,3.0,110.0,3.0
12143,Super built-up  Area,0.0,1063.0,2.0,42.52,2.0
12144,Super built-up  Area,1.0,1025.0,2.0,39.98,2.0
12145,Super built-up  Area,1.0,1067.0,2.0,38.0,2.0
12146,Super built-up  Area,0.0,1299.0,2.0,89.63,2.0
12147,Super built-up  Area,0.0,1343.0,2.0,76.0,2.0
12148,Super built-up  Area,1.0,1330.0,2.0,44.0,3.0
12149,Super built-up  Area,1.0,1524.0,2.0,72.0,3.0
12150,Super built-up  Area,1.0,2236.0,4.0,153.0,4.0
12151,Super built-up  Area,1.0,2955.0,3.0,235.0,3.0
12152,Super built-up  Area,0.0,1410.0,2.0,45.12,3.0
12153,Super built-up  Area,1.0,1581.0,3.0,76.0,3.0
12154,Super built-up  Area,1.0,1205.0,2.0,79.0,2.0
12155,Super built-up  Area,1.0,1270.0,2.0,95.25,3.0
12156,Super built-up  Area,1.0,1353.0,2.0,110.0,3.0
12157,Plot  Area,0.0,1200.0,2.0,68.0,2.0
12158,Super built-up  Area,1.0,1250.0,2.0,70.0,3.0
12159,Super built-up  Area,0.0,19502.0,3.0,261.0,3.0
12160,Super built-up  Area,0.0,1157.0,2.0,69.0,3.0
12161,Super built-up  Area,0.0,825.0,1.0,35.475,1.0
12162,Built-up  Area,1.0,1000.0,2.0,40.0,2.0
12163,Built-up  Area,0.0,602.0,1.0,33.0,1.0
12164,Built-up  Area,1.0,3000.0,4.0,900.0,5.0
12165,Super built-up  Area,0.0,1108.0,2.0,66.46,2.0
12166,Super built-up  Area,1.0,1040.0,2.0,68.0,2.0
12167,Super built-up  Area,0.0,1451.0,2.0,87.0,2.0
12168,Super built-up  Area,1.0,1196.0,2.0,40.54,2.0
12169,Super built-up  Area,0.0,850.0,1.0,37.32,1.0
12170,Super built-up  Area,0.0,217166.0,3.0,298.0,3.0
12171,Super built-up  Area,1.0,900.0,2.0,40.0,2.0
12172,Super built-up  Area,1.0,720.0,1.0,33.0,1.0
12173,Super built-up  Area,1.0,1573.0,3.0,115.0,3.0
12174,Super built-up  Area,1.0,1026.0,2.0,60.8,2.0
12175,Super built-up  Area,1.0,1400.0,2.0,78.0,3.0
12176,Built-up  Area,0.0,1400.0,2.0,40.44,3.0
12177,Built-up  Area,1.0,2100.0,3.0,147.0,4.0
12178,Super built-up  Area,1.0,1150.0,2.0,48.5,2.0
12179,Super built-up  Area,1.0,1500.0,3.0,88.0,3.0
12180,Super built-up  Area,1.0,2400.0,3.0,380.0,3.0
12181,Plot  Area,1.0,1200.0,3.0,240.0,3.0
12182,Super built-up  Area,1.0,1790.0,3.0,105.0,3.0
12183,Super built-up  Area,1.0,1125.0,2.0,75.0,2.0
12184,Super built-up  Area,0.0,1830.5,3.0,84.205,3.0
12185,Super built-up  Area,1.0,1100.0,2.0,50.0,2.0
12186,Built-up  Area,1.0,120.0,2.0,51.0,2.0
12187,Built-up  Area,1.0,1105.0,2.0,57.0,2.0
12188,Super built-up  Area,1.0,1110.0,2.0,46.5,2.0
12189,Super built-up  Area,1.0,708.0,1.0,41.0,1.0
12190,Super built-up  Area,1.0,1027.0,2.0,44.0,2.0
12191,Super built-up  Area,0.0,1600.0,3.0,100.0,3.0
12192,Super built-up  Area,1.0,3122.0,6.0,250.0,4.0
12193,Super built-up  Area,1.0,1205.0,2.0,37.0,2.0
12194,Super built-up  Area,1.0,1450.0,2.0,73.0,3.0
12195,Plot  Area,1.0,750.0,4.0,125.0,4.0
12196,Plot  Area,1.0,540.0,1.0,22.0,1.0
12197,Built-up  Area,1.0,1200.0,2.0,42.0,2.0
12198,Plot  Area,1.0,1200.0,5.0,260.0,5.0
12199,Super built-up  Area,1.0,1837.0,2.0,95.0,3.0
12200,Super built-up  Area,0.0,1346.0,2.0,76.01,2.0
12201,Built-up  Area,1.0,1012.0,2.0,68.0,2.0
12202,Super built-up  Area,0.0,19502.0,3.0,193.0,3.0
12203,Super built-up  Area,1.0,1125.0,2.0,55.0,2.0
12204,Super built-up  Area,1.0,1500.0,2.0,60.0,3.0
12205,Super built-up  Area,1.0,1197.0,2.0,79.9,2.0
12206,Super built-up  Area,0.0,1230.0,2.0,31.37,3.0
12207,Super built-up  Area,1.0,1100.0,2.0,47.0,2.0
12208,Super built-up  Area,1.0,1563.0,2.0,52.0,3.0
12209,Plot  Area,1.0,2240.0,4.0,700.0,7.0
12210,Super built-up  Area,1.0,3729.0,4.0,384.0,4.0
12211,Plot  Area,1.0,1600.0,3.0,120.0,3.0
12212,Super built-up  Area,1.0,1715.0,3.0,120.0,3.0
12213,Built-up  Area,1.0,2400.0,4.0,180.0,4.0
12214,Super built-up  Area,0.0,1151.0,2.0,42.5,2.0
12215,Plot  Area,1.0,1200.0,6.0,220.0,6.0
12216,Built-up  Area,1.0,1123.0,2.0,60.0,2.0
12217,Super built-up  Area,0.0,1276.0,2.0,69.5,2.0
12218,Super built-up  Area,1.0,1315.0,2.0,77.0,2.0
12219,Super built-up  Area,1.0,1270.0,2.0,50.79,3.0
12220,Super built-up  Area,1.0,1325.0,2.0,52.0,2.0
12221,Super built-up  Area,0.0,1600.0,3.0,63.2,3.0
12222,Super built-up  Area,1.0,1660.0,3.0,104.0,3.0
12223,Super built-up  Area,1.0,1299.0,2.0,58.0,2.0
12224,Super built-up  Area,1.0,953.0,2.0,90.0,2.0
12225,Super built-up  Area,1.0,1457.0,2.0,60.0,2.0
12226,Super built-up  Area,0.0,1000.0,1.0,65.0,2.0
12227,Built-up  Area,1.0,1100.0,2.0,76.3,3.0
12228,Super built-up  Area,1.0,1075.0,2.0,33.53,3.0
12229,Super built-up  Area,1.0,1450.0,3.0,51.0,3.0
12230,Super built-up  Area,1.0,5515.0,6.0,425.0,5.0
12231,Super built-up  Area,1.0,950.0,1.0,40.0,1.0
12232,Plot  Area,1.0,1200.0,3.0,180.0,5.0
12233,Super built-up  Area,1.0,1013.0,2.0,60.0,2.0
12234,Super built-up  Area,1.0,1140.0,2.0,56.0,2.0
12235,Super built-up  Area,1.0,2100.0,3.0,220.0,3.0
12236,Super built-up  Area,1.0,1430.0,3.0,61.0,3.0
12237,Plot  Area,1.0,600.0,3.0,95.0,4.0
12238,Carpet  Area,1.0,1600.0,3.0,77.0,3.0
12239,Super built-up  Area,1.0,1190.0,2.0,48.0,2.0
12240,Super built-up  Area,1.0,1625.0,3.0,95.0,3.0
12241,Super built-up  Area,1.0,1210.0,2.0,53.0,2.0
12242,Super built-up  Area,1.0,1615.0,3.0,150.0,3.0
12243,Super built-up  Area,1.0,1180.0,2.0,85.0,2.0
12244,Plot  Area,1.0,1500.0,2.0,91.0,2.0
12245,Built-up  Area,1.0,850.0,2.0,45.0,2.0
12246,Super built-up  Area,1.0,1130.0,2.0,55.0,2.0
12247,Super built-up  Area,1.0,907.0,2.0,38.0,2.0
12248,Built-up  Area,1.0,1300.0,2.0,90.0,2.0
12249,Super built-up  Area,1.0,1891.0,3.0,110.0,3.0
12250,Super built-up  Area,1.0,1735.0,3.0,78.0,3.0
12251,Super built-up  Area,1.0,1075.0,2.0,33.0,3.0
12252,Built-up  Area,1.0,24.0,5.0,75.0,5.0
12253,Built-up  Area,1.0,2040.0,4.0,123.0,7.0
12254,Super built-up  Area,1.0,1590.0,3.0,57.0,3.0
12255,Plot  Area,1.0,1600.0,5.0,140.0,5.0
12256,Built-up  Area,1.0,1160.0,2.0,55.0,2.0
12257,Super built-up  Area,1.0,930.0,1.0,55.0,2.0
12258,Built-up  Area,1.0,1010.0,2.0,58.0,2.0
12259,Super built-up  Area,1.0,1221.0,2.0,68.0,2.0
12260,Plot  Area,1.0,2400.0,4.0,470.0,4.0
12261,Super built-up  Area,0.0,1108.0,2.0,87.48,2.0
12262,Plot  Area,1.0,1000.0,4.0,120.0,4.0
12263,Super built-up  Area,0.0,1370.0,2.0,70.0,2.0
12264,Super built-up  Area,1.0,920.0,2.0,41.5,2.0
12265,Super built-up  Area,0.0,1277.0,2.0,79.89,2.0
12266,Super built-up  Area,0.0,1213.0,2.0,38.1,2.0
12267,Super built-up  Area,1.0,1653.0,3.0,85.0,3.0
12268,Plot  Area,1.0,2400.0,3.0,140.0,4.0
12269,Super built-up  Area,1.0,3000.0,5.0,500.0,4.0
12270,Plot  Area,1.0,1600.0,4.0,250.0,4.0
12271,Super built-up  Area,1.0,1321.0,2.0,40.0,3.0
12272,Super built-up  Area,1.0,1570.0,3.0,68.0,3.0
12273,Built-up  Area,1.0,1150.0,8.0,70.0,8.0
12274,Super built-up  Area,1.0,1053.0,2.0,44.0,2.0
12275,Super built-up  Area,1.0,1325.0,2.0,56.0,3.0
12276,Super built-up  Area,0.0,1169.0,2.0,50.11,2.0
12277,Super built-up  Area,0.0,1274.0,2.0,90.0,2.0
12278,Super built-up  Area,1.0,1317.0,2.0,52.0,2.0
12279,Built-up  Area,1.0,1195.0,2.0,75.0,2.0
12280,Super built-up  Area,0.0,2858.0,4.0,137.0,4.0
12281,Super built-up  Area,1.0,940.0,2.0,35.0,2.0
12282,Built-up  Area,1.0,1820.0,3.0,95.5,3.0
12283,Super built-up  Area,1.0,1450.0,3.0,53.6,3.0
12284,Built-up  Area,1.0,1615.0,3.0,96.9,3.0
12285,Built-up  Area,1.0,2200.0,2.0,99.0,3.0
12286,Super built-up  Area,1.0,985.0,2.0,62.5,2.0
12287,Built-up  Area,1.0,1116.0,2.0,33.0,2.0
12288,Super built-up  Area,1.0,656.0,2.0,25.0,2.0
12289,Super built-up  Area,1.0,1105.0,2.0,39.5,2.0
12290,Super built-up  Area,1.0,1220.0,2.0,55.0,2.0
12291,Built-up  Area,1.0,1400.0,3.0,74.0,3.0
12292,Built-up  Area,1.0,2400.0,3.0,185.0,4.0
12293,Plot  Area,1.0,850.0,3.0,63.0,3.0
12294,Built-up  Area,1.0,1000.0,2.0,35.0,2.0
12295,Super built-up  Area,1.0,1660.0,3.0,80.0,3.0
12296,Super built-up  Area,1.0,1330.0,2.0,57.0,3.0
12297,Super built-up  Area,0.0,1165.0,2.0,52.0,2.0
12298,Super built-up  Area,1.0,1153.0,2.0,56.0,2.0
12299,Built-up  Area,1.0,1270.0,2.0,45.0,2.0
12300,Super built-up  Area,0.0,1070.0,2.0,38.0,2.0
12301,Built-up  Area,1.0,1427.0,2.0,85.0,3.0
12302,Super built-up  Area,1.0,1420.0,2.0,95.0,3.0
12303,Plot  Area,1.0,1600.0,5.0,130.0,4.0
12304,Super built-up  Area,1.0,2031.0,2.0,200.0,2.0
12305,Super built-up  Area,0.0,1454.0,2.0,90.0,2.0
12306,Super built-up  Area,1.0,1116.0,2.0,48.76,2.0
12307,Plot  Area,1.0,2000.0,3.0,180.0,4.0
12308,Super built-up  Area,0.0,1346.0,2.0,74.03,2.0
12309,Super built-up  Area,1.0,1062.0,2.0,50.0,2.0
12310,Super built-up  Area,1.0,700.0,1.0,25.5,1.0
12311,Super built-up  Area,0.0,1405.0,2.0,99.0,2.0
12312,Built-up  Area,1.0,1100.0,2.0,50.0,2.0
12313,Plot  Area,1.0,2153.0,4.0,120.0,3.0
12314,Plot  Area,1.0,1200.0,3.0,120.0,3.0
12315,Super built-up  Area,1.0,2135.0,3.0,170.0,3.0
12316,Super built-up  Area,1.0,1125.0,2.0,47.0,2.0
12317,Super built-up  Area,1.0,1350.0,2.0,47.25,3.0
12318,Built-up  Area,1.0,1068.0,2.0,48.0,2.0
12319,Super built-up  Area,1.0,940.0,2.0,32.9,2.0
12320,Super built-up  Area,0.0,1063.0,2.0,32.79,2.0
12321,Super built-up  Area,1.0,1382.0,2.0,84.5,2.0
12322,Super built-up  Area,1.0,936.0,2.0,45.0,2.0
12323,Super built-up  Area,1.0,1400.0,2.0,60.0,3.0
12324,Super built-up  Area,0.0,475.0,1.0,26.0,1.0
12325,Super built-up  Area,1.0,1200.0,2.0,115.0,2.0
12326,Super built-up  Area,1.0,1450.0,3.0,65.0,3.0
12327,Super built-up  Area,1.0,1162.0,2.0,52.0,2.0
12328,Super built-up  Area,0.0,1161.0,2.0,48.75,2.0
12329,Super built-up  Area,1.0,162329.0,2.0,105.0,3.0
12330,Super built-up  Area,1.0,1260.0,2.0,70.0,2.0
12331,Plot  Area,1.0,1672.0,3.0,190.0,4.0
12332,Plot  Area,1.0,3000.0,4.0,240.0,3.0
12333,Super built-up  Area,1.0,1500.0,2.0,70.0,3.0
12334,Super built-up  Area,0.0,705.0,1.0,34.545,1.0
12335,Plot  Area,1.0,1650.0,6.0,200.0,5.0
12336,Super built-up  Area,1.0,2000.0,3.0,200.0,3.0
12337,Plot  Area,1.0,1675.0,1.0,241.0,1.0
12338,Plot  Area,1.0,1200.0,3.0,150.0,3.0
12339,Super built-up  Area,1.0,1100.0,2.0,46.2,2.0
12340,Super built-up  Area,1.0,1400.0,2.0,56.0,3.0
12341,Super built-up  Area,1.0,2257.0,3.0,155.0,3.0
12342,Super built-up  Area,1.0,1153.0,2.0,56.5,2.0
12343,Super built-up  Area,1.0,1197.0,2.0,56.86,2.0
12344,Super built-up  Area,1.0,1150.0,2.0,90.0,2.0
12345,Super built-up  Area,0.0,595.0,1.0,40.0,1.0
12346,Super built-up  Area,0.0,1837.0,3.0,110.0,3.0
12347,Plot  Area,1.0,3750.0,4.0,190.0,4.0
12348,Super built-up  Area,1.0,1830.0,3.0,91.86,3.0
12349,Super built-up  Area,1.0,1715.0,3.0,115.0,3.0
12350,Super built-up  Area,1.0,970.0,2.0,35.0,2.0
12351,Plot  Area,1.0,1200.0,3.0,148.0,4.0
12352,Built-up  Area,1.0,2700.0,5.0,95.75,4.0
12353,Plot  Area,1.0,5480.0,4.0,400.0,3.0
12354,Built-up  Area,1.0,2400.0,5.0,135.0,4.0
12355,Super built-up  Area,1.0,3040.0,4.0,135.0,4.0
12356,Super built-up  Area,0.0,1168.0,2.0,66.0,2.0
12357,Super built-up  Area,1.0,1160.0,2.0,36.54,2.0
12358,Built-up  Area,1.0,1500.0,3.0,75.0,3.0
12359,Plot  Area,1.0,600.0,2.0,72.0,2.0
12360,Plot  Area,1.0,1200.0,7.0,250.0,8.0
12361,Super built-up  Area,0.0,850.0,2.0,25.4,2.0
12362,Super built-up  Area,1.0,935.0,2.0,39.0,2.0
12363,Plot  Area,1.0,1200.0,5.0,235.0,5.0
12364,Super built-up  Area,0.0,654.0,1.0,49.0,1.0
12365,Built-up  Area,1.0,1650.0,3.0,180.0,3.0
12366,Plot  Area,1.0,5656.0,5.0,499.0,3.0
12367,Super built-up  Area,1.0,1300.0,2.0,33.0,2.0
12368,Super built-up  Area,1.0,950.0,2.0,60.0,2.0
12369,Super built-up  Area,0.0,1250.0,3.0,54.0,3.0
12370,Super built-up  Area,1.0,1072.0,2.0,42.87,2.0
12371,Super built-up  Area,1.0,1425.0,2.0,65.0,3.0
12372,Built-up  Area,1.0,1165.0,1.0,42.09,2.0
12373,Super built-up  Area,1.0,1390.0,2.0,69.49,3.0
12374,Built-up  Area,1.0,1510.0,3.0,78.0,3.0
12375,Super built-up  Area,1.0,1305.0,2.0,90.0,2.0
12376,Plot  Area,1.0,1200.0,6.0,170.0,6.0
12377,Built-up  Area,1.0,866.0,2.0,32.0,2.0
12378,Super built-up  Area,1.0,1231.0,2.0,84.5,2.0
12379,Super built-up  Area,1.0,1360.0,2.0,45.0,3.0
12380,Super built-up  Area,1.0,2500.0,3.0,138.0,3.0
12381,Super built-up  Area,1.0,1140.0,2.0,55.0,2.0
